conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_69047b8230ec81978e293aa69f2995920a957af157320d7c,1,1,author_1,berlin,True,True
conv_69047c3cb0808196a74dc1d21882c94d0471c3c89a474f34,1,1,author_1,berlin,True,True
conv_69047c6150d08196a443b70803cb73420e39d3a09fc59f01,1,0,author_1,berlin,False,False
conv_690481f821888196b63c1d98a6b7d2bc0b69a88388d54467,1,1,author_1,berlin,True,True
conv_690482a529a081969704a23a1f70fb150cb8b95f2f753ed7,1,1,author_1,berlin,True,True
conv_69048341d2608197a337a5a216a716f00b2bbc65822cb6e3,1,1,author_1,berlin,True,True
conv_6904a50f52348194a8105676abf484b408bd2a5c069cd1bb,1,1,author_1,berlin,True,True
conv_6904a569c1c48190ab09f885973b3a610ea967cf6f1f18a3,2,2,author_1,berlin,True,True
conv_6904a9851590819398aad57e2858a09e06d14919c5d8859d,1,1,author_1,berlin,True,True
conv_6904ade60e288195bef6b5b815fbe7cc00d0eb06ec2b71a6,2,2,author_1,berlin,True,True
conv_6904ba64bb908194bdd6473430ac4aca011536313b19ef9e,5,0,author_1,berlin,False,False
conv_6904ba9987bc8193bc64009cb7487a92005555ed176a33ea,5,0,author_1,berlin,False,False
conv_6904beb99cf08190917b38808e28a0c8005a45cd0c7076c3,4,0,author_1,berlin,False,False
conv_6904bf0445f081908e66dcb6ebe4969306ebd64a67a74441,1,1,author_1,berlin,True,True
conv_6904bf4fb3ac819598a90663f618cdad028f39a757aef9a9,5,4,author_1,berlin,False,True
conv_6904bf9d07dc819081d294364c5d87cb0ee4e7ce78a9399a,5,0,author_1,berlin,False,False
conv_6904d05deca08197a0a36667a8b30544047af0977c58d8c5,5,0,author_1,berlin,False,False
conv_6904d1520da88193b9840f2b32ec3b0b054d6ef556a5a286,1,0,author_1,berlin,False,False
conv_6904d22315ac8195bc753d41275affd10a3c7549f3e54705,1,0,author_1,berlin,False,False
conv_6904d25821e48193a6c043e8551dbaa40b1615f999386ebd,1,0,author_1,berlin,False,False
conv_6904d87d15708196b671a28cfca115e7051947d8fb9f5b27,1,1,author_1,berlin,True,True
conv_6904d90eec508190b43edb1ef50e22bc06487a8fef5668b5,1,1,author_1,berlin,True,True
conv_6904da0f9b7081939f5b6d7e370185360f707d1a40932fb3,5,0,author_1,berlin,False,False
conv_6904db04eb808195b21533d42950ebec02763bf8a1bd1264,2,0,author_1,berlin,False,False
conv_6904e227a2d88195ad9692f9fd2e23ad0f40095c390b5a88,5,0,author_1,berlin,False,False
conv_6904e3711c2481909a292bce33c12ea3083ae81d1a6ac27f,1,0,author_1,berlin,False,False
conv_6904ec9df9008195ae277776e66e6ba806f27ab844f08717,2,2,author_1,berlin,True,True
conv_6904ed00a8d0819380c67dff0dd1f62c05a2684bd9f000d9,1,0,author_1,berlin,False,False
conv_6904ee124dcc8190b90007f9aaf0f49804b95980ed1fc468,3,0,author_1,berlin,False,False
conv_6904eef428b08195aabdcf6550c91060034fb270f180b692,5,0,author_1,berlin,False,False
conv_6904ef891628819688a991b3980ca43b0fc68a1af341906a,1,0,author_1,berlin,False,False
conv_6904f063e37c81939527ed4f9be70f9303262c2aa52294b1,1,1,author_1,berlin,True,True
